"logZ","niter","error","relative_error","below_tolerance","method","mu","nu","max_iter","eps","true_value"
0.104581,20,2.00301e-16,1.80411e-16,0,"ST",0.1,0.1,1e+05,1e-20,0.104581453021831
0.104581,19,2.00301e-16,1.80411e-16,0,"errorBounding",0.1,0.1,1e+05,1e-20,0.104581453021831
0.104581,20,3.23563e-16,2.91434e-16,0,"brms",0.1,0.1,1e+05,1e-20,0.104581453021831
0.104581,20,2.00301e-16,1.80411e-16,0,"brms_bulk",0.1,0.1,1e+05,1e-20,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,0.1,0.219465836541704
0.212949,3,0.00808998,0.00649583,1,"ST",0.2,0.1,1e+05,0.1,0.219465836541704
0.202941,2,0.0204113,0.0163892,1,"errorBounding",0.2,0.1,1e+05,0.1,0.219465836541704
0.182322,3,0.0454113,0.0364629,1,"brms",0.2,0.1,1e+05,0.1,0.219465836541704
0.212949,3,0.00808998,0.00649583,1,"brms_bulk",0.2,0.1,1e+05,0.1,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,0.01,0.219465836541704
0.218339,4,0.00140231,0.00112598,1,"ST",0.2,0.1,1e+05,0.01,0.219465836541704
0.216403,3,0.0038089,0.00305835,1,"errorBounding",0.2,0.1,1e+05,0.01,0.219465836541704
0.212949,4,0.00808998,0.00649583,1,"brms",0.2,0.1,1e+05,0.01,0.219465836541704
0.218339,4,0.00140231,0.00112598,1,"brms_bulk",0.2,0.1,1e+05,0.01,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,0.001,0.219465836541704
0.219434,6,3.966e-05,3.18449e-05,1,"ST",0.2,0.1,1e+05,0.001,0.219465836541704
0.218926,4,0.000672313,0.000539832,1,"errorBounding",0.2,0.1,1e+05,0.001,0.219465836541704
0.219275,6,0.000237919,0.000191036,1,"brms",0.2,0.1,1e+05,0.001,0.219465836541704
0.219434,6,3.966e-05,3.18449e-05,1,"brms_bulk",0.2,0.1,1e+05,0.001,0.219465836541704
NA,NA,0,0,1,"Gaunt",0.2,0.1,1e+05,1e-04,0.219465836541704
0.219461,7,6.51284e-06,5.22947e-06,1,"ST",0.2,0.1,1e+05,1e-04,0.219465836541704
